TICKER,DATE,YEARREPORT,NPL (3-5),PPOP,NIM,Loan yield,COF from loan,Provision for credit losses
EIB,2019Q3,2019,0.0170638623906662,483307000000.0,0.0205174399407264,0.0978397089006223,0.0360701229051691,-142888000000.0
EIB,2019Q4,2019,0.0170692203469854,583000000000.0,0.0206213627981505,0.0970208762764685,0.0454351396362265,-590707000000.0
EIB,2020Q1,2020,0.0185339089942797,422492000000.0,0.0219071485993748,0.0960198741217265,0.0499299298087371,35078000000.0
EIB,2020Q2,2020,0.0208369955558974,349571000000.0,0.0208915223533921,0.0911641341922852,0.0944811130736574,-255367000000.0
EIB,2020Q3,2020,0.0245924059734163,598654000000.0,0.023532865633745,0.0945236120972635,0.0419854295954982,-46816000000.0
EIB,2020Q4,2020,0.0251515356066623,636186000000.0,0.0229942021727087,0.0936585693005257,13.842220828105395,-400272000000.0
EIB,2021Q1,2021,0.0231053372771905,532782000000.0,0.0212203240208642,0.0865316587556109,0.0233724017484882,-318641000000.0
EIB,2021Q2,2021,0.0201096727119549,462941000000.0,0.0251361343638053,0.0911990801766629,0.0168366841636129,-122541000000.0
EIB,2021Q3,2021,0.0218405761687062,473154000000.0,0.0187743051317504,0.0826506024301364,0.0219746304126415,-61404000000.0
EIB,2021Q4,2021,0.019597150651369,726313000000.0,0.0250568696215317,0.0841761833132819,0.0446281547198978,-487538000000.0
EIB,2022Q1,2022,0.0197535568022496,967369000000.0,0.0306519655912651,0.0825543029190314,0.0358135008404848,-158336000000.0
EIB,2022Q2,2022,0.0188199185475511,1223643000000.0,0.0339394624448089,0.0876341850873615,0.0331986095171564,-129966000000.0
EIB,2022Q3,2022,0.0189592932212762,981777000000.0,0.034535862740292,0.0898366483797886,0.0257113624513433,296261000000.0
EIB,2022Q4,2022,0.0179812954253446,639867000000.0,0.0323549308469877,0.0934190837448783,0.0478606510022144,-111549000000.0
EIB,2023Q1,2023,0.023427983088922,962801000000.0,0.0278979928235665,0.1005977887710417,0.0689138636241855,-92120000000.0
EIB,2023Q2,2023,0.0274969073532327,712316000000.0,0.0243430217622835,0.1048994633732589,0.7057849438936703,-177795000000.0
EIB,2023Q3,2023,0.026422127012346,476953000000.0,0.0189108837045989,0.0985892025689064,0.5696251390686374,-170013000000.0
EIB,2023Q4,2023,0.0265353403490652,1261955000000.0,0.0295115118538618,0.097588477821018,0.8034319868890388,-254471000000.0
EIB,2024Q1,2024,0.0285930472023461,942575000000.0,0.0277875666354394,0.0796683176896281,0.0439756040101562,-281527000000.0
EIB,2024Q2,2024,0.026446312732773,1033855000000.0,0.0301555549546106,0.0753358090110994,0.0131275489905482,-220608000000.0
EIB,2024Q3,2024,0.0270737998206083,1105634000000.0,0.0291797607037753,0.0722898606524357,0.0415962451293693,-201981000000.0
EIB,2024Q4,2024,0.0253144719045176,2075425000000.0,0.0270557132270303,0.0718149665380398,0.0461802081420241,-264956000000.0
EIB,2025Q1,2025,0.0258528296887968,958592000000.0,0.0228517045943353,0.0685785210797972,0.0473490758799677,-126938000000.0
EVF,2017Q1,2017,0.0282866508985723,131124000000.0,,,,-13414000000.0
EVF,2017Q2,2017,,56091000000.0,-0.0170701611161019,,,-47244000000.0
EVF,2017Q3,2017,,113878000000.0,0.016082830349217,,,-128987000000.0
EVF,2017Q4,2017,,230072000000.0,0.0295297289626791,,,-129666000000.0
EVF,2018Q1,2018,,99872000000.0,0.0218884447249292,,,2621000000.0
EVF,2018Q2,2018,0.0450576895639228,34598000000.0,0.006677196711045,0.0,0.0,-34488000000.0
EVF,2018Q3,2018,0.0450806626133321,71154000000.0,0.0228073828900294,0.0814464934579976,0.043833917057171,17611000000.0
EVF,2018Q4,2018,0.0376506519318736,69370000000.0,0.0264329334390977,0.0827550059747745,0.0434385024713609,-2470000000.0
EVF,2019Q1,2019,0.0378257081790133,60781000000.0,0.0239621225883438,0.0825575807597514,0.045627672910706,-1429000000.0
EVF,2019Q2,2019,0.0449244170860015,71109000000.0,0.0255344214565651,0.082723730080686,0.0455719369335357,-47638000000.0
EVF,2019Q3,2019,0.0463980012674775,140171000000.0,0.033719601004392,0.104001772402482,0.052671602707641,-17773000000.0
EVF,2019Q4,2019,0.0349550335659509,113489000000.0,0.036211025126365,0.1139232182398245,0.0509338580822915,-34248000000.0
EVF,2020Q1,2020,0.0438329774953939,156074000000.0,0.0355136344189534,0.149744588471873,0.0807904795522252,-65851000000.0
EVF,2020Q2,2020,0.0316470404131293,153480000000.0,0.0305640531601915,0.0522707213383334,-0.0022697918742944,-158299000000.0
EVF,2020Q3,2020,0.0351833709632368,141191000000.0,0.0288020300571352,0.1022372484576746,0.0276650648362377,-35762000000.0
EVF,2020Q4,2020,0.0246482376867084,602643000000.0,0.1059538778406577,0.0913599598990215,0.0272087336042034,-317671000000.0
EVF,2021Q1,2021,0.0279712197399667,154786000000.0,0.0284844507254183,0.0946332902120627,0.030824559725736,-36942000000.0
EVF,2021Q2,2021,0.0247850034061163,304301000000.0,0.024451058506976,0.0950183993915347,0.0306420075875752,-239019000000.0
EVF,2021Q3,2021,0.0261014941961412,154176000000.0,0.0313593596099498,0.1057898728668177,0.0331020171795241,-42473000000.0
EVF,2021Q4,2021,0.0259283200417045,306141000000.0,0.0285184823038654,0.1071745172802147,0.0342534641192787,-189981000000.0
EVF,2022Q1,2022,0.0193685503920945,208381000000.0,0.0329023142765465,0.115849731329415,0.0342087933936797,-63630000000.0
EVF,2022Q2,2022,0.0232946428019413,169176000000.0,0.0300489120735786,0.1174637766828901,0.038676775356054,-79358000000.0
EVF,2022Q3,2022,0.0211563851139076,165764000000.0,0.0215202365109188,0.1135945457753154,0.0508483263577732,-67961000000.0
EVF,2022Q4,2022,0.0222497456939618,273505000000.0,0.0223100101301484,0.1294422197406794,0.0773084113610342,-150533000000.0
EVF,2023Q1,2023,0.0242041700899391,146836000000.0,0.0079276991238494,0.1256574854505371,0.0828729074088341,-40720000000.0
EVF,2023Q2,2023,0.0113810783743739,300389000000.0,0.0053654087213219,0.1175576459834528,0.0751371942207329,-207137000000.0
EVF,2023Q3,2023,0.0140276437755933,187441000000.0,0.0236609620081986,0.1338898158623342,0.0757131754672981,-44248000000.0
EVF,2023Q4,2023,0.012969748390237,162013000000.0,0.026761622143077,0.132960130093285,0.0767234016007825,-95267000000.0
EVF,2024Q1,2024,0.0156626396170503,314487000000.0,0.0328540446843148,0.1332540399192646,0.0824171756249627,-150160000000.0
EVF,2024Q2,2024,0.0071290534343203,491399000000.0,0.0333508787045226,0.1163490858558098,0.0627160239830707,-345039000000.0
EVF,2024Q3,2024,0.007633458609742,264383000000.0,0.0328466495430801,0.1075849360670763,0.068767327189858,-37818000000.0
EVF,2024Q4,2024,0.0078613366985889,278810000000.0,0.0227379749797907,0.0882101652272985,0.0694206497993433,-112289000000.0
EVF,2025Q1,2025,0.0165812718291799,372631000000.0,0.0312104251331303,0.1005263285378436,0.0659590439964604,-67064000000.0
BVB,2018Q1,2018,,86736000000.0,,,,0.0
BVB,2018Q2,2018,,89592000000.0,0.0249917167972494,,,-117935000000.0
BVB,2018Q3,2018,,110887000000.0,0.0167663988428111,,,-26051000000.0
BVB,2018Q4,2018,,-43649000000.0,0.0205468051695216,,,17020000000.0
BVB,2019Q1,2019,,18945000000.0,0.0177133563350409,,,2688000000.0
BVB,2019Q2,2019,,74867000000.0,0.0215697475536649,,,-48603000000.0
BVB,2019Q3,2019,,99946000000.0,0.0249134775904892,,,-63496000000.0
BVB,2019Q4,2019,,74765000000.0,0.021125270850899,,,-1010000000.0
BVB,2020Q1,2020,0.0288867376573088,202076000000.0,0.025447397409511,0.1200682956979388,0.0295713391758447,-153948000000.0
BVB,2020Q2,2020,0.0309512677469423,48183000000.0,0.0168792870910442,0.1065346147589906,0.0172915405609755,-34534000000.0
BVB,2020Q3,2020,0.0298354223734976,138583000000.0,0.0220881988424798,0.1064061338344705,0.0182782771880733,-62779000000.0
BVB,2020Q4,2020,0.0279063011293508,159548000000.0,0.0230989815191876,0.1056403598089858,0.017613751838408,-95641000000.0
BVB,2021Q1,2021,0.0283043379070326,151852000000.0,0.0227209702491408,0.1005457344652116,0.0208749671687469,0.0
BVB,2021Q2,2021,0.0280896081154737,256387000000.0,0.0275851576172255,0.100785623865671,0.0207657401138668,-70933000000.0
BVB,2021Q3,2021,0.0293895660506333,220130000000.0,0.0216598145109205,0.0968080301520758,0.017223769580203,-171755000000.0
BVB,2021Q4,2021,0.0253491894613866,53510000000.0,0.0212311457870376,0.0960385321109163,0.0324573215177881,-127744000000.0
BVB,2022Q1,2022,0.0242382713043065,169189000000.0,0.0228351923263332,0.0973018021299188,0.0242468921588679,4444000000.0
BVB,2022Q2,2022,0.0273055505646314,246663000000.0,0.0233258256228682,0.0967558749475346,0.0161962616012548,-65763000000.0
BVB,2022Q3,2022,0.0280227038261218,130333000000.0,0.0244295414708219,0.0999914870335791,0.0320710628349114,-61854000000.0
BVB,2022Q4,2022,0.0278917816356035,134215000000.0,0.0211113646701957,0.1051021991181339,0.072678358839088,-101172000000.0
BVB,2023Q1,2023,0.0292551566898687,63261000000.0,0.0153772845886657,0.1149344292672474,0.0543211374687639,-37709000000.0
BVB,2023Q2,2023,0.0438314278245826,73757000000.0,0.0194430121164836,0.1214893313359195,0.0845176130554178,-59531000000.0
BVB,2023Q3,2023,0.0355813381719487,65518000000.0,0.0203494519635722,0.1201005294454764,0.0416241936640776,-43873000000.0
BVB,2023Q4,2023,0.033142575089669,145585000000.0,0.0210519717925581,0.1102782471919081,0.0471162016842141,-135402000000.0
BVB,2024Q1,2024,0.0390696583472037,175479000000.0,0.0233011044918615,0.0977471555783048,0.0705981496220374,-106162000000.0
BVB,2024Q2,2024,0.0377419246569825,285927000000.0,0.0267990561728769,0.0908354993091499,0.0659085243872494,-202504000000.0
BVB,2024Q3,2024,0.0465378611073337,169666000000.0,0.0233230495514778,0.0858484137246499,0.0430991293877483,-140472000000.0
BVB,2024Q4,2024,0.0308539772358557,371355000000.0,0.031453552042348,0.0997054076183816,0.0313964540889049,-162699000000.0
BVB,2025Q1,2025,0.0343414869516568,223906000000.0,0.0198285618802663,0.0864309635070703,0.0394511840176172,-143682000000.0
HDB,2017Q1,2017,0.0150550543298329,592603000000.0,,,,-205256000000.0
HDB,2017Q2,2017,0.015968311331233,722112000000.0,0.0353404030588793,0.1147502644552384,0.1200833953437647,-228391000000.0
